,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
21,-0.2732,Fri Oct 05 12:03:07 +0000 2018,0.884,0.116,0.0,BBC,"🐬 This woman taught a dolphin to speak English. 

🔈 Sound up for this one…  https://t.co/wck12UVoRr",22
22,0.8555,Fri Oct 05 11:03:05 +0000 2018,0.669,0.0,0.331,BBC,"Why does everybody love moth memes?

It's the one-sided love story that we can all relate to...
👉… https://t.co/55Oz8ULaX3",23
23,0.743,Fri Oct 05 10:00:25 +0000 2018,0.674,0.0,0.326,BBC,"RT @BBCTwo: We literally can't get enough of @donaldglover's amazing smile. 😁😁 #Atlanta #WorldSmileDay
https://t.co/ovzKcY0pKg",24
24,0.3818,Fri Oct 05 09:32:19 +0000 2018,0.478,0.22,0.303,BBC,"The Nobel Peace Prize has been awarded to campaigners against rape in warfare Nadia Murad and Denis Mukwege. 
👉… https://t.co/getpPN0hD9",25
25,0.7414,Fri Oct 05 09:27:55 +0000 2018,0.77,0.0,0.23,BBC,RT @BBC_Teach: It’s #WorldTeachersDay 👩🏫 so to celebrate we're inviting you to upload a video of yourself singing &amp; dancing along to one of…,26
26,-0.6705,Fri Oct 05 09:08:05 +0000 2018,0.8,0.2,0.0,BBC,"The quest for extreme selfies killed 259 people between 2011 and 2017, a 2018 global study has revealed.
👉… https://t.co/uojB5RWAf2",27
27,0.5994,Fri Oct 05 08:00:11 +0000 2018,0.804,0.0,0.196,BBC,👩🏾‍🎨🎨🖼 This artist on a mission to change how black women are illustrated with her beautiful designs. https://t.co/OiKhaT5joi,28
28,0.5719,Fri Oct 05 07:08:05 +0000 2018,0.773,0.0,0.227,BBC,"From dream job to reality: How do career dreams really work out?
👉 https://t.co/jXwJd5MzSu https://t.co/cf8HHuYtyi",29
29,0.0,Fri Oct 05 06:11:03 +0000 2018,1.0,0.0,0.0,BBC,"These urban corals are thriving against all odds in Miami.

#OurBluePlanet w/ @oceanx + @coralmorph https://t.co/zjeBH83ZM7",30
30,0.0,Thu Oct 04 20:06:04 +0000 2018,1.0,0.0,0.0,BBC,"🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they… https://t.co/SSFjTKFAjU",31
31,-0.5209,Thu Oct 04 19:01:08 +0000 2018,0.684,0.218,0.097,BBC,"Could the power of fake pills be used to treat some of our most common medical complaints? 💊

#Horizon The Placebo… https://t.co/R3YMojVEYu",32
32,0.0,Thu Oct 04 18:01:09 +0000 2018,1.0,0.0,0.0,BBC,"This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",33
33,-0.6124,Thu Oct 04 17:11:06 +0000 2018,0.654,0.25,0.096,BBC,"🥓 Regularly eating foods like bacon and sausages may raise the risk of breast cancer, according to researchers.
👉… https://t.co/drh72r7tDj",34
34,0.4215,Thu Oct 04 16:03:07 +0000 2018,0.714,0.0,0.286,BBC,"Maya Angelou: prolific, powerful, and a polymath. 
#BlackHistoryMonth https://t.co/99z0ppyKYK",35
35,-0.4588,Thu Oct 04 15:29:47 +0000 2018,0.67,0.242,0.088,BBC,"RT @BBCWales: Forget the lies and the myths about growing up on an estate. 

#NationalPoetryDay

https://t.co/HPKwfqx7bq",36
36,0.0,Thu Oct 04 14:01:23 +0000 2018,1.0,0.0,0.0,BBC,"How did Shakespeare invent all those clichés? And how can he be stopped?! 🤔
#NationalPoetryDay  https://t.co/sCmnhZiv4G",37
37,0.1531,Thu Oct 04 13:03:03 +0000 2018,0.89,0.0,0.11,BBC,"🌡🌍 What does 1.5C mean in a warming world?
👉 https://t.co/XzjY5M8oNl https://t.co/kMLXVnvjxm",38
38,-0.25,Thu Oct 04 12:02:05 +0000 2018,0.429,0.357,0.214,BBC,Are you feeling lonely? https://t.co/HxqBp6oh17,39
39,0.4404,Thu Oct 04 11:28:10 +0000 2018,0.813,0.0,0.187,BBC,"RT @BBCEarth: This #WorldAnimalDay, we’re giving you an exclusive first look at David Attenborough’s new series.

#Dynasties - Coming soon…",40
40,0.0,Thu Oct 04 11:13:01 +0000 2018,1.0,0.0,0.0,BBC,"Ever heard a beatboxing starling? 🔊🔊
#WorldAnimalDay https://t.co/N758EN4j3s",41
41,0.1759,Thu Oct 04 10:45:47 +0000 2018,0.546,0.206,0.248,BBC,"The pika might just be the world's cutest thief! 
#WorldAnimalDay https://t.co/v8dSKoVYgD",42
42,0.0,Thu Oct 04 10:26:38 +0000 2018,1.0,0.0,0.0,BBC,Could this squat be a moment that sparks change? https://t.co/GFXOeWufHl,43
43,0.4939,Thu Oct 04 08:00:04 +0000 2018,0.789,0.0,0.211,BBC,"🐬 A dolphin with a prosthetic tail inspired Ellie’s Paralympic journey.

#OurBluePlanet w/ @oceanx https://t.co/WtUfOh4W2Z",44
44,-0.2263,Thu Oct 04 07:03:02 +0000 2018,0.651,0.172,0.177,BBC,"🥗 Eating a Mediterranean diet may help prevent depression, research suggests.
👉 https://t.co/FIpHPRQHqV https://t.co/tl4BbDsxUa",45
45,-0.5994,Thu Oct 04 06:03:01 +0000 2018,0.769,0.231,0.0,BBC,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1",46
46,0.4939,Wed Oct 03 19:04:04 +0000 2018,0.819,0.0,0.181,BBC,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs",47
47,0.0,Wed Oct 03 17:59:01 +0000 2018,1.0,0.0,0.0,BBC,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to,48
48,0.5411,Wed Oct 03 17:03:42 +0000 2018,0.851,0.0,0.149,BBC,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…,49
49,0.4404,Wed Oct 03 16:55:01 +0000 2018,0.868,0.0,0.132,BBC,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur,50
50,0.0,Wed Oct 03 15:58:03 +0000 2018,1.0,0.0,0.0,BBC,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY,51
51,0.0,Wed Oct 03 13:04:03 +0000 2018,1.0,0.0,0.0,BBC,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world fa… https://t.co/cpzfOniwxA",52
52,0.7299,Wed Oct 03 11:57:04 +0000 2018,0.695,0.0,0.305,BBC,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV",53
53,0.2732,Wed Oct 03 11:01:02 +0000 2018,0.89,0.0,0.11,BBC,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s… https://t.co/NGQAEEJWdl",54
54,-0.5574,Wed Oct 03 08:02:04 +0000 2018,0.753,0.247,0.0,BBC,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg",55
55,0.0,Wed Oct 03 08:01:24 +0000 2018,1.0,0.0,0.0,BBC,"RT @BBCRadio2: 🥁Drumroll please!🥁

Our brand new Breakfast Show host is @ZoeTheBall! 👏

https://t.co/th597DBxQI https://t.co/dbfQgMsuHO",56
56,-0.6124,Wed Oct 03 07:04:08 +0000 2018,0.815,0.185,0.0,BBC,"🐧 A zoo has been forced to fill its new penguin exhibit with models, as a shortage of birds means it is unable to g… https://t.co/BmSAy8zQJP",57
57,0.0,Wed Oct 03 06:08:02 +0000 2018,1.0,0.0,0.0,BBC,"""Oh, I'm so sorry,"" and other things not to say to amputees. 
(via @BBCThree) https://t.co/L8eiOleNyi",58
58,0.0,Tue Oct 02 19:02:07 +0000 2018,1.0,0.0,0.0,BBC,"Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, befo… https://t.co/OQpgOJ7edi",59
59,-0.802,Tue Oct 02 17:55:03 +0000 2018,0.573,0.427,0.0,BBC,Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m,60
60,0.4019,Tue Oct 02 17:06:06 +0000 2018,0.847,0.0,0.153,BBC,"The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K",61
61,0.7096,Tue Oct 02 16:06:02 +0000 2018,0.766,0.0,0.234,BBC,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",62
62,-0.2732,Tue Oct 02 14:06:04 +0000 2018,0.554,0.242,0.204,BBC,Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for… https://t.co/fIj6Ly7Z3u,63
63,0.5994,Tue Oct 02 13:05:03 +0000 2018,0.795,0.0,0.205,BBC,"🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian h… https://t.co/1X1qdk14Oh",64
64,0.0,Tue Oct 02 12:05:04 +0000 2018,1.0,0.0,0.0,BBC,"Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn",65
65,0.5719,Tue Oct 02 10:47:27 +0000 2018,0.829,0.0,0.171,BBC,"Donna Strickland has become the first woman to have won the #NobelPrize in Physics in 55 years. 
👉… https://t.co/hGIojnR1W0",66
66,0.0,Tue Oct 02 10:27:17 +0000 2018,1.0,0.0,0.0,BBC,"RT @BBCSport: SPOTY is back - and there are some big changes.

The BBC Sports Personality of the Year 2018 contenders will be revealed on t…",67
67,0.6696,Tue Oct 02 10:16:58 +0000 2018,0.728,0.0,0.272,BBC,"❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS",68
68,-0.6705,Tue Oct 02 09:22:00 +0000 2018,0.769,0.231,0.0,BBC,"Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic… https://t.co/WmFqGMo8Es",69
69,0.0,Tue Oct 02 09:10:44 +0000 2018,1.0,0.0,0.0,BBC,RT @bbccomedy: ‘There She Goes’ starring @JefficaHoons and David Tennant comes to @BBCFOUR on October 16th. https://t.co/tH37Wg5TBC,70
70,-0.7964,Tue Oct 02 08:00:09 +0000 2018,0.679,0.321,0.0,BBC,"In January 1918, the Spanish flu swept the world and killed more people than WW1. 
#TheFluThatKilled50Million https://t.co/WinYKnWfSA",71
71,0.0,Tue Oct 02 07:05:06 +0000 2018,1.0,0.0,0.0,BBC,"👛 Do you know where your tips go? 

A guide to how tipping works in restaurants.
👉 https://t.co/CNU4t3iogG https://t.co/7dcsckQwcG",72
72,-0.6486,Tue Oct 02 06:09:05 +0000 2018,0.798,0.202,0.0,BBC,"More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say.  https://t.co/w1SaxVchyO",73
73,-0.128,Mon Oct 01 19:00:01 +0000 2018,0.919,0.081,0.0,BBC,Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with le… https://t.co/rSc4ZR9MEX,74
74,0.0,Mon Oct 01 17:16:04 +0000 2018,1.0,0.0,0.0,BBC,"A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-millio… https://t.co/A1q3ZEIz2z",75
75,0.7506,Mon Oct 01 16:05:44 +0000 2018,0.748,0.0,0.252,BBC,"RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…",76
76,0.0,Mon Oct 01 15:48:02 +0000 2018,1.0,0.0,0.0,BBC,"RT @CBeebiesHQ: Cuddle up cheek to cheek!

Sharon D. Clarke is back for tonight's #BedtimeStory 😴📚

The biographical tale of Ella Fitzgeral…",77
77,0.0,Mon Oct 01 15:00:02 +0000 2018,1.0,0.0,0.0,BBC,These scientists have found plastic in every area of the Arctic; there are about 225 trillion particles in the whol… https://t.co/UoKtCXow1b,78
78,0.0,Mon Oct 01 14:01:07 +0000 2018,1.0,0.0,0.0,BBC,"An Astrophysicist? A World Traveller? CEO of the British Library? 🔭📚🤷

Illustrator Sir Quentin Blake has reimagined… https://t.co/PqXhCcoHH9",79
79,0.0,Mon Oct 01 13:04:26 +0000 2018,1.0,0.0,0.0,BBC,"RT @bbcgetinspired: 'I'm a Muslim woman, I'm visually-impaired and I'm a boxer' 🥊🥊 #GetInspired 

https://t.co/zJorjZokVM",80
80,0.7456,Mon Oct 01 13:03:06 +0000 2018,0.689,0.0,0.311,BBC,"🎶🌟@LadyGaga and Jodie Whittaker playing the #DoctorWho theme tune on the theremin is AMAZING. #TheGNShow

https://t.co/PEwaE9tzNH",81
81,0.128,Mon Oct 01 12:33:03 +0000 2018,0.705,0.137,0.159,BBC,"😂😃😐 Can you spot a fake laugh? 

Take this quiz to find out. 👉 https://t.co/LAFjV5ggf7 https://t.co/sFjlLRwzQK",82
82,-0.5574,Mon Oct 01 12:08:21 +0000 2018,0.833,0.167,0.0,BBC,"Geoffrey Hayes, who hosted long-running children's TV show, Rainbow, has died aged 76.
👉 https://t.co/10XDMpYCiz https://t.co/vPs5odJKqy",83
83,0.7003,Mon Oct 01 11:03:02 +0000 2018,0.655,0.0,0.345,BBC,"This Amazing Human uses coffee to give homeless people a second chance. ☕️💛#InternationalCoffeeDay

https://t.co/wOc1ce2B3J",84
84,0.3818,Mon Oct 01 10:03:06 +0000 2018,0.591,0.134,0.274,BBC,"Turns out it's *quite* difficult to keep a straight face while testing laughing gas...

https://t.co/nFlgKY7NuY",85
85,-0.7351,Mon Oct 01 09:46:54 +0000 2018,0.763,0.237,0.0,BBC,RT @BBCRadio4: We conducted the world's largest survey on loneliness and discovered that 16-24 year olds are the loneliest age group. Read…,86
86,0.0,Mon Oct 01 09:04:02 +0000 2018,1.0,0.0,0.0,BBC,"We cannot WAIT for the new Doctor Who series! @bbcdoctorwho #TheGNShow

https://t.co/BkxpymO5Be",87
87,0.7845,Mon Oct 01 08:02:02 +0000 2018,0.734,0.0,0.266,BBC,"Start your Monday the right way. Watch Tom Hardy explain to a child why we should love all things equally. 💔😭

https://t.co/646n5wwjvL",88
88,-0.875,Mon Oct 01 07:32:01 +0000 2018,0.5,0.5,0.0,BBC,Persistent chemical pollution threatens the future of killer whales. 💔 https://t.co/wJJIQj8WLK https://t.co/saSP4leLjt,89
89,-0.872,Mon Oct 01 07:03:05 +0000 2018,0.602,0.398,0.0,BBC,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e",90
90,0.4753,Sun Sep 30 20:21:03 +0000 2018,0.843,0.0,0.157,BBC,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…",91
91,0.6239,Sun Sep 30 19:39:53 +0000 2018,0.687,0.0,0.313,BBC,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s,92
92,0.0,Sun Sep 30 19:03:02 +0000 2018,1.0,0.0,0.0,BBC,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi",93
93,0.0,Sun Sep 30 17:16:03 +0000 2018,1.0,0.0,0.0,BBC,Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be… https://t.co/vytPpS8tTl,94
94,0.5106,Sun Sep 30 16:22:42 +0000 2018,0.769,0.063,0.167,BBC,"RT @BBCOne: #TheCry ""is the perfect replacement for #Bodyguard, a twisting, turning whodunit that leaves you questioning everybody."" The Te…",95
95,0.4574,Sun Sep 30 16:22:25 +0000 2018,0.875,0.0,0.125,BBC,"RT @BBCOne: To mark 30 years in music, we’re making a @takethat documentary special and WE NEED YOU! 

Head to https://t.co/WiKSYB8coP to s…",96
96,0.0,Sun Sep 30 16:01:09 +0000 2018,0.773,0.113,0.113,BBC,"🕺✨ @Joe_Sugg says he worried that he was the 'joke act' in this year's #Strictly. 

https://t.co/FmKBnEJeoX https://t.co/O1GfHHBJud",97
97,0.0,Sun Sep 30 15:03:03 +0000 2018,1.0,0.0,0.0,BBC,"This is the incredible story of how London dug the Victoria Line! 🚇

https://t.co/F8MsetBclS",98
98,-0.296,Sun Sep 30 14:02:04 +0000 2018,0.901,0.099,0.0,BBC,"In Japan, 'aki no koe' refers to autumn's voice, which incorporates all the sounds of the season: the wind rustling… https://t.co/2fynWfK1Wu",99
99,0.0,Sun Sep 30 13:06:04 +0000 2018,1.0,0.0,0.0,BBC,"""Dyslexia tries to kick my butt daily - but I won't let it beat me"". 

https://t.co/EmtRJC2V5G",100
0,0.5423,Fri Oct 05 23:30:00 +0000 2018,0.8,0.0,0.2,CBS,"Viewers in Atlanta, Charlotte, Pittsburgh, and most of Michigan and Wisconsin, please take note of the DVR alert be… https://t.co/fradnBOvdk",1
1,-0.3612,Fri Oct 05 20:10:09 +0000 2018,0.821,0.179,0.0,CBS,"RT @MadamSecretary: Worlds collide when former Secretaries of State @HillaryClinton, @madeleine, and Colin Powell stop by #MadamSecretary f…",2
2,0.0,Fri Oct 05 19:23:53 +0000 2018,1.0,0.0,0.0,CBS,".@TheNeighborhood's @BethBehrs and @latelateshow may have come up with a new hit show called ""Naked Rabbi.""… https://t.co/KLsSlzgC0f",3
3,-0.6808,Fri Oct 05 17:42:12 +0000 2018,0.811,0.189,0.0,CBS,"RT @FBICBS: When a killer's victim survives to tell the tale, it's up to the team to catch him before he kills again. 

The first SEVEN MIN…",4
4,0.5023,Fri Oct 05 16:45:23 +0000 2018,0.787,0.0,0.213,CBS,But you know the CBS Fall TV that makes YOU smile. #WorldSmileDay https://t.co/JVOh5TlK0D,5
5,-0.3724,Fri Oct 05 16:45:22 +0000 2018,0.758,0.242,0.0,CBS,Not everyone smiles at the same shows #WorldSmileDay https://t.co/XFwNIFleXf,6
6,0.3612,Fri Oct 05 16:45:22 +0000 2018,0.8,0.0,0.2,CBS,"And smile at shows that, you know, get you. #WorldSmileDay https://t.co/9JpmKkB7Ky",7
7,0.6124,Fri Oct 05 16:45:21 +0000 2018,0.667,0.0,0.333,CBS,Smile at shows you’ve been meaning to smile at before #WorldSmileDay https://t.co/MWrtrX62BP,8
8,0.7003,Fri Oct 05 16:45:21 +0000 2018,0.58,0.0,0.42,CBS,Get right back into smiling with your favorites #WorldSmileDay https://t.co/BohCiTymMO,9
9,0.3612,Fri Oct 05 16:45:19 +0000 2018,0.737,0.0,0.263,CBS,Time to smile at new shows #WorldSmileDay https://t.co/n45SpVXuOq,10
10,0.4199,Fri Oct 05 16:45:19 +0000 2018,0.715,0.0,0.285,CBS,Smile! CBS Fall TV is here. #WorldSmileDay https://t.co/QhmtAmJL0X,11
11,0.0,Thu Oct 04 17:17:46 +0000 2018,1.0,0.0,0.0,CBS,"The Big Bang Theory.
Young Sheldon, Mom, Murphy Brown.
S.W.A.T. Watch them tonight.

#NationalPoetryDay",12
12,-0.3875,Thu Oct 04 00:34:37 +0000 2018,0.774,0.226,0.0,CBS,@shygirlsue @Ranker And we couldn't be prouder of you.😊 https://t.co/Rt9bRkv32J,13
13,0.0,Wed Oct 03 23:45:21 +0000 2018,1.0,0.0,0.0,CBS,@suferah_khan https://t.co/hkLN6VK6WI,14
14,0.7906,Wed Oct 03 23:39:03 +0000 2018,0.682,0.0,0.318,CBS,.@Ranker is ranking the best CBS shows of all time. Did your favorites make the list? https://t.co/D3ZrfZK0Q9,15
15,0.4939,Wed Oct 03 19:35:31 +0000 2018,0.849,0.0,0.151,CBS,".@CrimMinds_CBS returns tonight for its 300th episode. In honor of the milestone season premiere, the cast has a me… https://t.co/o9aKkBKKtw",16
16,0.6956,Wed Oct 03 17:05:20 +0000 2018,0.69,0.0,0.31,CBS,".@wayansjr debuted his perfect impression of his father on @colbertlateshow but everybody, be cool, and don't tell… https://t.co/MWa9UNOORj",17
17,0.8858,Tue Oct 02 21:25:29 +0000 2018,0.646,0.0,0.354,CBS,RT @CBSAllAccess: It's a great day to be a fan of #TheTwilightZone! We're celebrating the 59th anniversary of the classic series AND the of…,18
18,0.0,Tue Oct 02 18:36:26 +0000 2018,1.0,0.0,0.0,CBS,"⚡️ “Happy Together Premieres on CBS”

https://t.co/W7IvELcMcw",19
19,0.1622,Tue Oct 02 17:52:53 +0000 2018,0.746,0.133,0.121,CBS,"@miamicah We don't know for sure about that, but we are sure that you should be some sort of TV detective. 🙂 https://t.co/uW5aSn7jlO",20
20,0.0,Tue Oct 02 16:49:34 +0000 2018,1.0,0.0,0.0,CBS,"⚡️ “The Neighborhood Premieres on CBS”

https://t.co/R72l342BFE",21
21,0.3182,Tue Oct 02 02:42:23 +0000 2018,0.881,0.0,0.119,CBS,"RT @startrekcbs: Discover the next adventure of #StarTrekDiscovery January 2019, and catch #Starfleet at @NY_Comic_Con THIS Saturday. https…",22
22,0.765,Tue Oct 02 01:10:54 +0000 2018,0.708,0.0,0.292,CBS,The stars of @TheNeighborhood and @happytogether celebrated their shows' premieres on CBS tonight with a good old f… https://t.co/fu9SJzv7hZ,23
23,0.0,Tue Oct 02 00:01:07 +0000 2018,1.0,0.0,0.0,CBS,"RT @TheNeighborhood: It's almost time! Our live Q&amp;A with the casts of #TheNeighborhood &amp; #HappyTogether is starting at 8pm ET/ 5pm PT. 

Se…",24
24,0.0,Mon Oct 01 21:56:03 +0000 2018,1.0,0.0,0.0,CBS,Head over to the CBS Facebook page now for the #FacebookLive with @happytogether’s @wayansjr and @TheNeighborhood’s… https://t.co/37QOrVA1sh,25
25,0.296,Mon Oct 01 16:33:11 +0000 2018,0.864,0.0,0.136,CBS,Join @happytogether's @wayansjr and @TheNeighborhood's @iamgreenfield for a Facebook Live TODAY at 5:45p ET/2:45 PT… https://t.co/klrx7cA41H,26
26,-0.2263,Sun Sep 30 23:51:26 +0000 2018,0.909,0.091,0.0,CBS,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in East/Central time zones ONLY. New start times:… https://t.co/zmEn7CVlUi",27
27,0.6124,Sun Sep 30 17:00:00 +0000 2018,0.81,0.0,0.19,CBS,The cast of @GodFriendedMe answers some heavenly questions about social media before the show premieres tonight aft… https://t.co/61Tx2GTn35,28
28,0.0,Sun Sep 30 14:34:18 +0000 2018,1.0,0.0,0.0,CBS,RT @CBSAllAccess: Stream NFL on CBS LIVE today starting at 1pm ET on CBS All Access! 🏈 https://t.co/vsod8jYeZl https://t.co/UBp3R4UCAd,29
29,0.0,Fri Sep 28 22:22:01 +0000 2018,1.0,0.0,0.0,CBS,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",30
30,0.0,Fri Sep 28 20:16:14 +0000 2018,1.0,0.0,0.0,CBS,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",31
31,0.0,Fri Sep 28 17:52:41 +0000 2018,1.0,0.0,0.0,CBS,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",32
